id,.pred_anger,.pred_fear,.pred_joy,.pred_love,.pred_sadness,.pred_surprise
25344,0.345258287,0.217417367,0.135937821,0.004676948,0.296173069,0.000536508
1080,0.444257205,0.238005478,0.199750439,0.01071073,0.104827735,0.002448413
1232,0.385240942,0.242133741,0.21551247,0.005689428,0.147871526,0.003551893
1661,0.382314053,0.224825651,0.267837166,0.008468639,0.111201034,0.005353457
4300,0.42802393,0.264262954,0.172105889,0.009066047,0.122301715,0.004239466
45,0.437547374,0.244702766,0.185412837,0.014840079,0.11176877,0.005728175
74,0.323993237,0.206928593,0.32056706,0.010689484,0.135318453,0.002503175
4363,0.366413345,0.286309864,0.186331941,0.013485828,0.146653183,0.000805838
16328,0.423566756,0.235369197,0.19593831,0.006746271,0.13631518,0.002064286
2591,0.413711199,0.293281467,0.169406779,0.006850136,0.116030296,0.000720124
1952,0.409188805,0.27750693,0.172239303,0.006456846,0.132474784,0.002133333
3296,0.360174207,0.223104559,0.262705361,0.005575018,0.147292138,0.001148718
1184,0.488913613,0.239152142,0.16505238,0.004595279,0.101350077,0.000936508
3207,0.398858108,0.277059652,0.1966423,0.00469676,0.121565402,0.001177778
2600,0.401061057,0.27932117,0.168364582,0.003863303,0.146275602,0.001114286
2000,0.388004958,0.258024276,0.171835039,0.013374466,0.167159986,0.001601275
3201,0.430287364,0.280351651,0.188797568,0.000917302,0.099499496,0.000146619
6130,0.427621466,0.270748657,0.179481184,0.00770053,0.1139561,0.000492063
34901,0.387530187,0.255005431,0.193856661,0.005169586,0.157819575,0.000618559
219,0.449309552,0.245809959,0.19989306,0.005240954,0.096671079,0.003075397
36034,0.377627604,0.293954725,0.179791135,0.00485372,0.141833645,0.001939171
768,0.431848248,0.278070734,0.160248545,0.005429417,0.122922104,0.001480952
205,0.375875169,0.23061343,0.179231565,0.012233458,0.19898071,0.003065667
46,0.399912004,0.281502094,0.158341402,0.007859322,0.151682004,0.000703175
408,0.39390437,0.26384258,0.178726003,0.007311588,0.154023396,0.002192063
8800,0.347281216,0.20987898,0.27883013,0.023704849,0.136990538,0.003314286
7370,0.384527266,0.282676786,0.179023383,0.007102812,0.146040083,0.00062967
1727,0.415439419,0.168135262,0.27295624,0.023319313,0.119465158,0.000684607
135,0.449813993,0.253389099,0.17765577,0.005394397,0.112988011,0.00075873
2650,0.383599876,0.285416863,0.148872417,0.005247712,0.175471068,0.001392063
1497,0.424799578,0.286380777,0.161918664,0.0047713,0.120438628,0.001691053
8492,0.53541622,0.229514042,0.115161014,0.003199548,0.115987483,0.000721693
30254,0.365817528,0.203847618,0.156056682,0.009714674,0.260969889,0.003593609
244,0.424220619,0.270147095,0.152720031,0.00598429,0.14247479,0.004453175
